n,k,comparisons,swaps
1000,1,2925,2177
1000,1,2921,2204
1000,1,2954,2206
1000,1,2872,2120
1000,1,3041,2335
1000,1,2646,1965
1000,1,2884,2152
1000,1,2962,2245
1000,1,2935,2211
1000,1,2906,2168
1000,1,2777,2090
1000,1,2953,2230
1000,1,2903,2179
1000,1,2626,1930
1000,1,2763,2032
1000,1,2923,2189
1000,1,2698,2022
1000,1,2961,2255
1000,1,2894,2174
1000,1,2828,2089
1000,1,2694,2007
1000,1,2870,2124
1000,1,2903,2179
1000,1,2869,2140
1000,500,2898,2187
1000,500,3005,2278
1000,500,3044,2321
1000,500,2964,2229
1000,500,3010,2290
1000,500,3034,2299
1000,500,2906,2170
1000,500,2822,2126
1000,500,3054,2314
1000,500,2638,1930
1000,500,2726,2029
1000,500,3096,2340
1000,500,2831,2110
1000,500,2987,2257
1000,500,2718,2060
1000,500,3027,2329
1000,500,3095,2351
1000,500,2997,2278
1000,500,3041,2304
1000,500,2949,2215
1000,500,2731,2031
1000,500,3006,2286
1000,500,3043,2310
1000,500,3059,2333
1000,500,3034,2311
1000,500,3004,2263
1000,500,3009,2251
1000,500,2960,2231
1000,500,2998,2250
1000,500,2978,2244
1000,500,1538,1140
1000,500,3010,2301
1000,500,2989,2269
1000,500,2838,2112
1000,500,3060,2317
1000,500,1508,1105
1000,500,3117,2381
1000,500,3057,2316
1000,500,2694,2006
1000,500,2930,2174
1000,500,3099,2350
1000,500,3063,2311
1000,500,2647,1940
1000,500,3052,2302
1000,500,2845,2149
1000,500,2791,2099
1000,500,2657,1960
1000,500,2985,2248
1000,500,2957,2219
1000,500,3049,2333
1000,1000,3064,2306
1000,1000,2795,2120
1000,1000,2985,2280
1000,1000,3009,2285
1000,1000,2855,2163
1000,1000,2605,1965
1000,1000,2886,2183
1000,1000,2954,2263
1000,1000,2734,2087
1000,1000,2637,1993
1000,1000,2936,2228
1000,1000,2815,2130
1000,1000,2887,2193
1000,1000,2663,1949
1000,1000,2985,2293
1000,1000,2943,2200
1000,1000,2928,2217
1000,1000,2994,2306
1000,1000,3017,2267
1000,1000,2886,2194
1000,1000,2983,2277
1000,1000,2942,2212
1000,1000,2860,2177
1000,1000,2919,2241
1000,1000,2923,2254
1000,1000,2928,2224
1000,1000,3038,2306
1000,1000,2956,2266
1000,1000,3006,2301
1000,1000,2995,2287
1000,1000,2940,2235
1000,1000,2947,2236
